ast-grep	ast-grep completions	config	c		CONFIG_FILE		
ast-grep	ast-grep completions	help	h				
ast-grep	ast-grep lsp	config	c		CONFIG_FILE		
ast-grep	ast-grep lsp	help	h				
ast-grep	ast-grep new	config	c		CONFIG_FILE		Path to ast-grep root config, default is sgconfig.yml
ast-grep	ast-grep new	help	h				Print help (see a summary with '-h')
ast-grep	ast-grep new	lang	l		LANG		The language of the item to create.
ast-grep	ast-grep new	yes	y				Accept all default options without interactive input during creation.
ast-grep	ast-grep outline	color			WHEN	auto,always,ansi,never	Controls output color.
ast-grep	ast-grep outline	config	c		CONFIG_FILE		Path to ast-grep root config, default is sgconfig.yml
ast-grep	ast-grep outline	follow					Follow symbolic links.
ast-grep	ast-grep outline	globs			GLOBS		Include or exclude file paths.
ast-grep	ast-grep outline	help	h				Print help (see a summary with '-h')
ast-grep	ast-grep outline	items			ITEMS	auto,structure,exports,imports,all	Select which top-level items to include.
ast-grep	ast-grep outline	json			=<STYLE	pretty,stream,compact	Output outline entries in structured JSON.
ast-grep	ast-grep outline	lang	l		LANG		Specify the input language.
ast-grep	ast-grep outline	match			REGEX		Keep only top-level items matching this regex.
ast-grep	ast-grep outline	no-default-outline-rules					Do not load bundled outline extractor definitions
ast-grep	ast-grep outline	no-ignore			FILE_TYPE	hidden,dot,exclude,global,parent,vcs	Do not respect hidden file system or ignore files (.gitignore, .ignore, etc.).
ast-grep	ast-grep outline	outline-rules			FILE		Load additional outline extractor definitions
ast-grep	ast-grep outline	pub-members					Display only public members in member views.
ast-grep	ast-grep outline	stdin					Enable search code from StdIn.
ast-grep	ast-grep outline	threads	j		NUM		Set the approximate number of threads to use.
ast-grep	ast-grep outline	type <TYPE					Keep only top-level items with these comma-separated symbol types.
ast-grep	ast-grep outline	view			VIEW	auto,names,signatures,digest,expanded	Select the text presentation.
ast-grep	ast-grep run	after	A		NUM		Show NUM lines after each match.
ast-grep	ast-grep run	before	B		NUM		Show NUM lines before each match.
ast-grep	ast-grep run	color			WHEN	auto,always,ansi,never	Controls output color.
ast-grep	ast-grep run	config	c		CONFIG_FILE		Path to ast-grep root config, default is sgconfig.yml
ast-grep	ast-grep run	context	C		NUM		Show NUM lines around each match.
ast-grep	ast-grep run	debug-query			=<format	pattern,ast,cst,sexp	Print query pattern's tree-sitter AST.
ast-grep	ast-grep run	files-with-matches					Print only the paths with at least one match and suppress match contents.
ast-grep	ast-grep run	follow					Follow symbolic links.
ast-grep	ast-grep run	globs			GLOBS		Include or exclude file paths.
ast-grep	ast-grep run	heading			WHEN	auto,always,never	Controls whether to print the file name as heading.
ast-grep	ast-grep run	help	h				Print help (see a summary with '-h')
ast-grep	ast-grep run	inspect			GRANULARITY	nothing,summary,entity	Inspect information for file/rule discovery and scanning.
ast-grep	ast-grep run	interactive	i				Start interactive edit session.
ast-grep	ast-grep run	json			=<STYLE	pretty,stream,compact	Output matches in structured JSON.
ast-grep	ast-grep run	kind	k		KIND		AST kind to match.
ast-grep	ast-grep run	lang	l		LANG		The language of the pattern.
ast-grep	ast-grep run	no-ignore			FILE_TYPE	hidden,dot,exclude,global,parent,vcs	Do not respect hidden file system or ignore files (.gitignore, .ignore, etc.).
ast-grep	ast-grep run	pattern	p		PATTERN		AST pattern to match
ast-grep	ast-grep run	rewrite	r		FIX		String to replace the matched AST node
ast-grep	ast-grep run	selector			KIND		AST kind to extract sub-part of pattern to match.
ast-grep	ast-grep run	stdin					Enable search code from StdIn.
ast-grep	ast-grep run	strictness			STRICTNESS	cst,smart,ast,relaxed,signature,template	The strictness of the pattern.
ast-grep	ast-grep run	threads	j		NUM		Set the approximate number of threads to use.
ast-grep	ast-grep run	update-all	U				Apply all rewrite without confirmation if true
ast-grep	ast-grep scan	after	A		NUM		Show NUM lines after each match.
ast-grep	ast-grep scan	before	B		NUM		Show NUM lines before each match.
ast-grep	ast-grep scan	color			WHEN	auto,always,ansi,never	Controls output color.
ast-grep	ast-grep scan	config	c		CONFIG_FILE		Path to ast-grep root config, default is sgconfig.yml
ast-grep	ast-grep scan	context	C		NUM		Show NUM lines around each match.
ast-grep	ast-grep scan	error			=<RULE_ID		Set rule severity to error
ast-grep	ast-grep scan	files-with-matches					Print only the paths with at least one match and suppress match contents.
ast-grep	ast-grep scan	filter			REGEX		Scan the codebase with rules with ids matching REGEX.
ast-grep	ast-grep scan	follow					Follow symbolic links.
