aho_corasick::ahocorasick::AhoCorasick	builder	-	fn builder() -> AhoCorasickBuilder	A convenience method for returning a new Aho-Corasick builder.
aho_corasick::ahocorasick::AhoCorasick	clone	core::clone::Clone	fn clone(&self) -> AhoCorasick	
aho_corasick::ahocorasick::AhoCorasick	find	-	fn find<'h, I: Into<Input<'h>>>(&self, input: I) -> Option<Match>	Returns the location of the first match according to the match semantics that this automaton was constructed with.
aho_corasick::ahocorasick::AhoCorasick	find_iter	-	fn find_iter<'a, 'h, I: Into<Input<'h>>>(&'a self, input: I) -> FindIter<'a, 'h>	Returns an iterator of non-overlapping matches, using the match semantics that this automaton was constructed with.
aho_corasick::ahocorasick::AhoCorasick	find_overlapping	-	fn find_overlapping<'h, I: Into<Input<'h>>>(&self, input: I, state: &mut OverlappingState)	Returns the location of the first overlapping match in the given input with respect to the current state of the underlying searcher.
aho_corasick::ahocorasick::AhoCorasick	find_overlapping_iter	-	fn find_overlapping_iter<'a, 'h, I: Into<Input<'h>>>(&'a self, input: I) -> FindOverlappingIter<'a, 'h>	Returns an iterator of overlapping matches. Stated differently, this returns an iterator of all possible matches at every position.
aho_corasick::ahocorasick::AhoCorasick	fmt	core::fmt::Debug	fn fmt(&self, f: &mut core::fmt::Formatter<'_>) -> core::fmt::Result	
aho_corasick::ahocorasick::AhoCorasick	is_match	-	fn is_match<'h, I: Into<Input<'h>>>(&self, input: I) -> bool	Returns true if and only if this automaton matches the haystack at any position.
aho_corasick::ahocorasick::AhoCorasick	kind	-	fn kind(&self) -> AhoCorasickKind	Returns the kind of the Aho-Corasick automaton used by this searcher.
aho_corasick::ahocorasick::AhoCorasick	match_kind	-	fn match_kind(&self) -> MatchKind	Returns the match kind used by this automaton.
aho_corasick::ahocorasick::AhoCorasick	max_pattern_len	-	fn max_pattern_len(&self) -> usize	Returns the length of the longest pattern matched by this automaton.
aho_corasick::ahocorasick::AhoCorasick	memory_usage	-	fn memory_usage(&self) -> usize	Returns the approximate total amount of heap used by this automaton, in units of bytes.
aho_corasick::ahocorasick::AhoCorasick	min_pattern_len	-	fn min_pattern_len(&self) -> usize	Returns the length of the shortest pattern matched by this automaton.
aho_corasick::ahocorasick::AhoCorasick	new	-	fn new<I, P>(patterns: I) -> Result<AhoCorasick, BuildError> where I: IntoIterator<Item = P>, P: AsRef<[u8]>	Create a new Aho-Corasick automaton using the default configuration.
aho_corasick::ahocorasick::AhoCorasick	patterns_len	-	fn patterns_len(&self) -> usize	Return the total number of patterns matched by this automaton.
aho_corasick::ahocorasick::AhoCorasick	replace_all	-	fn replace_all<B>(&self, haystack: &str, replace_with: &[B]) -> String where B: AsRef<str>	Replace all matches with a corresponding value in the `replace_with` slice given. Matches correspond to the same matches as reported by [`AhoCorasick::find_iter`].
aho_corasick::ahocorasick::AhoCorasick	replace_all_bytes	-	fn replace_all_bytes<B>(&self, haystack: &[u8], replace_with: &[B]) -> Vec<u8> where B: AsRef<[u8]>	Replace all matches using raw bytes with a corresponding value in the `replace_with` slice given. Matches correspond to the same matches as reported by [`AhoCorasick::find_iter`].
aho_corasick::ahocorasick::AhoCorasick	replace_all_with	-	fn replace_all_with<F>(&self, haystack: &str, dst: &mut String, replace_with: F) where F: FnMut(&Match, &str, &mut String) -> bool	Replace all matches using a closure called on each match. Matches correspond to the same matches as reported by [`AhoCorasick::find_iter`].
aho_corasick::ahocorasick::AhoCorasick	replace_all_with_bytes	-	fn replace_all_with_bytes<F>(&self, haystack: &[u8], dst: &mut Vec<u8>, replace_with: F) where F: FnMut(&Match, &[u8], &mut Vec<u8>) -> bool	Replace all matches using raw bytes with a closure called on each match. Matches correspond to the same matches as reported by [`AhoCorasick::find_iter`].
aho_corasick::ahocorasick::AhoCorasick	start_kind	-	fn start_kind(&self) -> StartKind	Returns the type of starting search configuration supported by this Aho-Corasick automaton.
aho_corasick::ahocorasick::AhoCorasick	stream_find_iter	-	fn stream_find_iter<'a, R: std::io::Read>(&'a self, rdr: R) -> StreamFindIter<'a, R>	Returns an iterator of non-overlapping matches in the given stream. Matches correspond to the same matches as reported by [`AhoCorasick::find_iter`].
