AssertionError	builtins.pyi	2
AttributeError	builtins.pyi	18
BaseException	builtins.pyi	80
BaseException.__cause__	builtins.pyi	2
BaseExceptionGroup.exceptions	builtins.pyi	1
BrokenPipeError	builtins.pyi	1
ConnectionError	builtins.pyi	4
ConnectionRefusedError	builtins.pyi	2
ConnectionResetError	builtins.pyi	1
Counter.items	builtins.pyi	1
DeprecationWarning	builtins.pyi	1
Ellipsis	builtins.pyi	1
Exception	builtins.pyi	283
Exception.__cause__	builtins.pyi	2
False		721
FileExistsError	builtins.pyi	2
FileNotFoundError	builtins.pyi	25
ImportError	builtins.pyi	77
IndexError	builtins.pyi	6
KeyError	builtins.pyi	35
KeyboardInterrupt	builtins.pyi	1
LookupError	builtins.pyi	4
ModuleNotFoundError	builtins.pyi	4
NameError	builtins.pyi	4
None		11431
NotADirectoryError	builtins.pyi	5
NotImplemented	builtins.pyi	2
NotImplementedError	builtins.pyi	13
OSError	builtins.pyi	43
OSError.errno	builtins.pyi	1
OrderedDict.get	builtins.pyi	1
PermissionError	builtins.pyi	7
ProcessLookupError	builtins.pyi	6
RecursionError	builtins.pyi	3
RuntimeError	builtins.pyi	121
RuntimeError.__cause__	builtins.pyi	1
StopAsyncIteration	builtins.pyi	7
SystemExit	builtins.pyi	2
TimeoutError	builtins.pyi	13
ToolError.__cause__	builtins.pyi	2
True		962
TypeError	builtins.pyi	110
UnicodeDecodeError	builtins.pyi	6
UnicodeError	builtins.pyi	1
UserWarning	builtins.pyi	6
ValidationError.__cause__	builtins.pyi	1
ValueError	builtins.pyi	459
_ToolBodyError.__cause__	builtins.pyi	1
__dict__	builtins.pyi	1
__func__	builtins.pyi	3
__future__	__future__.pyi	195
__future__.annotations	__future__.pyi	201
__future__.annotations.title	__future__.pyi	1
__init__	builtins.pyi	9
__module__	builtins.pyi	2
__name__	builtins.pyi	17
_asyncio.Future	_asyncio.pyi	5
_asyncio.Future.done	_asyncio.pyi	8
_asyncio.Future.set_exception	_asyncio.pyi	5
_asyncio.Future.set_result	_asyncio.pyi	4
_asyncio.Task	_asyncio.pyi	3
_asyncio.Task.cancel	_asyncio.pyi	14
_asyncio.Task.done	_asyncio.pyi	7
_asyncio.Task.exception	_asyncio.pyi	4
_asyncio.Task.result	_asyncio.pyi	4
