pyrefly::library::library::library::library::LegacyError	pyrefly::error::legacy::LegacyError	struct
pyrefly::library::library::library::library::SerializableError	pyrefly::error::error::SerializableError	struct
pyrefly::query::IndexedTypeShapeKind	pyrefly::query::type_table::IndexedTypeShapeKind	enum
pyrefly::query::LocatedTypeTableRef	pyrefly::query::type_table::LocatedTypeTableRef	struct
pyrefly::query::SerializedTypeTableEntry	pyrefly::query::type_table::SerializedTypeTableEntry	struct
pyrefly::query::TypeQueryDecorator	ruff_python_ast::nodes::Decorator	struct
pyrefly::query::TypeQueryExpr	ruff_python_ast::generated::Expr	enum
pyrefly::query::TypeQueryStmt	ruff_python_ast::generated::Stmt	enum
pyrefly::query::TypeQueryStmtClassDef	ruff_python_ast::generated::StmtClassDef	struct
pyrefly::query::TypeQueryStmtFunctionDef	ruff_python_ast::generated::StmtFunctionDef	struct
pyrefly::query::TypeTableResponseData	pyrefly::query::type_table::TypeTableResponseData	struct
pyrefly_build::CustomQueryArgs	pyrefly_build::query::custom::CustomQueryArgs	struct
pyrefly_types::type_var::FlagDomain	pyrefly_types::type_var::flag::FlagDomain	struct
pyrefly_types::type_var::FlagMember	pyrefly_types::type_var::flag::FlagMember	enum
pyrefly_types::type_var::ShapeExtensionRestriction	pyrefly_types::type_var::shape_extension::ShapeExtensionRestriction	struct
ruff_annotate_snippets::Annotation	annotate_snippets::snippet::Annotation	struct
ruff_annotate_snippets::AnnotationKind	annotate_snippets::snippet::AnnotationKind	enum
ruff_annotate_snippets::Element	annotate_snippets::snippet::Element	enum
ruff_annotate_snippets::Group	annotate_snippets::snippet::Group	struct
ruff_annotate_snippets::Level	annotate_snippets::level::Level	struct
ruff_annotate_snippets::Message	annotate_snippets::snippet::Message	struct
ruff_annotate_snippets::OptionCow	annotate_snippets::snippet::OptionCow	struct
ruff_annotate_snippets::Origin	annotate_snippets::snippet::Origin	struct
ruff_annotate_snippets::Padding	annotate_snippets::snippet::Padding	struct
ruff_annotate_snippets::Patch	annotate_snippets::snippet::Patch	struct
ruff_annotate_snippets::Renderer	annotate_snippets::renderer::Renderer	struct
ruff_annotate_snippets::Report	annotate_snippets::snippet::Report	type_alias
ruff_annotate_snippets::Snippet	annotate_snippets::snippet::Snippet	struct
ruff_annotate_snippets::Title	annotate_snippets::snippet::Title	struct
ruff_annotate_snippets::level::ERROR	annotate_snippets::level::ERROR	constant
ruff_annotate_snippets::level::HELP	annotate_snippets::level::HELP	constant
ruff_annotate_snippets::level::INFO	annotate_snippets::level::INFO	constant
ruff_annotate_snippets::level::Level	annotate_snippets::level::Level	struct
ruff_annotate_snippets::level::NOTE	annotate_snippets::level::NOTE	constant
ruff_annotate_snippets::level::WARNING	annotate_snippets::level::WARNING	constant
ruff_annotate_snippets::normalize_untrusted_str	annotate_snippets::normalize_untrusted_str	function
ruff_annotate_snippets::renderer::DEFAULT_ADDITION_STYLE	annotate_snippets::renderer::DEFAULT_ADDITION_STYLE	constant
ruff_annotate_snippets::renderer::DEFAULT_CONTEXT_STYLE	annotate_snippets::renderer::DEFAULT_CONTEXT_STYLE	constant
ruff_annotate_snippets::renderer::DEFAULT_EMPHASIS_STYLE	annotate_snippets::renderer::DEFAULT_EMPHASIS_STYLE	constant
ruff_annotate_snippets::renderer::DEFAULT_ERROR_STYLE	annotate_snippets::renderer::DEFAULT_ERROR_STYLE	constant
ruff_annotate_snippets::renderer::DEFAULT_HELP_STYLE	annotate_snippets::renderer::DEFAULT_HELP_STYLE	constant
ruff_annotate_snippets::renderer::DEFAULT_INFO_STYLE	annotate_snippets::renderer::DEFAULT_INFO_STYLE	constant
ruff_annotate_snippets::renderer::DEFAULT_LINE_NUM_STYLE	annotate_snippets::renderer::DEFAULT_LINE_NUM_STYLE	constant
ruff_annotate_snippets::renderer::DEFAULT_NONE_STYLE	annotate_snippets::renderer::DEFAULT_NONE_STYLE	constant
ruff_annotate_snippets::renderer::DEFAULT_NOTE_STYLE	annotate_snippets::renderer::DEFAULT_NOTE_STYLE	constant
ruff_annotate_snippets::renderer::DEFAULT_REMOVAL_STYLE	annotate_snippets::renderer::DEFAULT_REMOVAL_STYLE	constant
ruff_annotate_snippets::renderer::DEFAULT_TERM_WIDTH	annotate_snippets::renderer::DEFAULT_TERM_WIDTH	constant
ruff_annotate_snippets::renderer::DEFAULT_WARNING_STYLE	annotate_snippets::renderer::DEFAULT_WARNING_STYLE	constant
ruff_annotate_snippets::renderer::DecorStyle	annotate_snippets::renderer::DecorStyle	enum
ruff_annotate_snippets::renderer::Renderer	annotate_snippets::renderer::Renderer	struct
ruff_cache::CacheKey	ruff_cache::cache_key::CacheKey	trait
ruff_cache::CacheKeyHasher	ruff_cache::cache_key::CacheKeyHasher	struct
ruff_db::diagnostic::DiagnosticStylesheet	ruff_db::diagnostic::stylesheet::DiagnosticStylesheet	struct
