pyrefly	debug-stack-overflow	unknown	dep:backtrace-on-stack-overflow	-
ruff_annotate_snippets	memchr	unknown	-	-
ruff_annotate_snippets	simd	default	dep:memchr	-
ruff_annotate_snippets	std	default	anstyle/std,memchr?/std	-
ruff_annotate_snippets	testing-colors	unknown	-	-
ruff_db	cache	unknown	ruff_cache	-
ruff_db	ignore	unknown	-	-
ruff_db	junit	unknown	dep:quick-junit	-
ruff_db	os	unknown	dep:etcetera,dep:same-file,dep:which,ignore	-
ruff_db	quick-junit	unknown	-	-
ruff_db	ruff_cache	unknown	-	-
ruff_db	same-file	unknown	-	-
ruff_db	schemars	unknown	-	-
ruff_db	serde	unknown	camino/serde1,dep:serde,dep:serde_json,ruff_diagnostics/serde	-
ruff_db	serde_json	unknown	-	-
ruff_db	testing	unknown	tracing-subscriber	-
ruff_db	tracing-subscriber	unknown	-	-
ruff_db	which	unknown	-	-
ruff_diagnostics	serde	unknown	dep:serde,ruff_text_size/serde	-
ruff_formatter	schemars	unknown	dep:schemars,ruff_text_size/schemars	-
ruff_formatter	serde	unknown	dep:serde,ruff_text_size/serde	-
ruff_graph	clap	unknown	-	-
ruff_graph	schemars	unknown	-	-
ruff_graph	serde	unknown	-	-
ruff_index	salsa	unknown	-	-
ruff_linter	clap	unknown	-	-
ruff_linter	schemars	unknown	dep:schemars,ruff_python_ast/schemars	-
ruff_linter	test-rules	unknown	-	-
ruff_linter	testing	unknown	-	-
ruff_options_metadata	serde	unknown	-	-
ruff_python_ast	cache	unknown	dep:ruff_cache,dep:ruff_macros	-
ruff_python_ast	get-size	unknown	char_str/get-size,dep:get-size2,ruff_text_size/get-size	-
ruff_python_ast	get-size2	unknown	-	-
ruff_python_ast	ruff_cache	unknown	-	-
ruff_python_ast	ruff_macros	unknown	-	-
ruff_python_ast	salsa	unknown	dep:salsa	-
ruff_python_ast	schemars	unknown	dep:schemars,dep:serde_json	-
ruff_python_ast	serde	unknown	char_str/serde,compact_str/serde,dep:ruff_cache,dep:serde,ruff_text_size/serde,thin-vec/serde	-
ruff_python_ast	serde_json	unknown	-	-
ruff_python_formatter	schemars	unknown	dep:schemars,dep:serde_json,ruff_formatter/schemars	-
ruff_python_formatter	serde	default	dep:serde,ruff_formatter/serde,ruff_python_ast/serde,ruff_source_file/serde	-
ruff_python_formatter	serde_json	unknown	-	-
ruff_python_semantic	schemars	unknown	-	-
ruff_python_semantic	serde	unknown	-	-
ruff_ranged_value	get-size	unknown	dep:get-size2	-
ruff_ranged_value	get-size2	unknown	-	-
ruff_ranged_value	schemars	unknown	dep:schemars	-
ruff_server	test-uv	unknown	-	-
ruff_source_file	get-size	unknown	dep:get-size2,ruff_text_size/get-size	-
ruff_source_file	get-size2	unknown	-	-
ruff_source_file	serde	unknown	dep:serde,ruff_text_size/serde	-
ruff_text_size	get-size	unknown	dep:get-size2	-
ruff_text_size	get-size2	unknown	-	-
ruff_text_size	schemars	unknown	-	-
ruff_text_size	serde	unknown	dep:serde	-
ruff_wasm	console_error_panic_hook	default	-	-
ruff_workspace	schemars	unknown	dep:schemars,dep:serde_json,ruff_formatter/schemars,ruff_linter/schemars,ruff_python_formatter/schemars,ruff_python_semantic/schemars	-
ruff_workspace	serde_json	unknown	-	-
