pyrefly::error::collector::CollectedErrors	struct	pyrefly	2
pyrefly::error::collector::ErrorBuilder	struct	pyrefly	9
pyrefly::error::collector::ErrorCollector	struct	pyrefly	14
pyrefly::error::context::ErrorContext	enum	pyrefly	5
pyrefly::error::context::TypeCheckContext	struct	pyrefly	5
pyrefly::error::context::TypeCheckKind	enum	pyrefly	4
pyrefly::error::error::BaselineStatus	enum	pyrefly	6
pyrefly::error::error::Error	struct	pyrefly	27
pyrefly::error::error::ErrorQuickFix	enum	pyrefly	4
pyrefly::error::error::SecondaryAnnotation	struct	pyrefly	4
pyrefly::error::legacy::BaselineError	struct	pyrefly	4
pyrefly::error::style::ErrorStyle	enum	pyrefly	3
pyrefly::export::definitions::Definition	struct	pyrefly	3
pyrefly::export::definitions::DefinitionStyle	enum	pyrefly	7
pyrefly::export::definitions::Definitions	struct	pyrefly	8
pyrefly::export::definitions::DunderAll	struct	pyrefly	3
pyrefly::export::definitions::DunderAllEntry	enum	pyrefly	4
pyrefly::export::definitions::DunderAllKind	enum	pyrefly	5
pyrefly::export::definitions::MutableCaptureKind	enum	pyrefly	6
pyrefly::export::exports::Export	struct	pyrefly	2
pyrefly::export::exports::ExportLocation	enum	pyrefly	2
pyrefly::export::exports::ExportOrigin	struct	pyrefly	0
pyrefly::export::exports::Exports	struct	pyrefly	16
pyrefly::export::exports::LookupExport	trait	pyrefly	11
pyrefly::export::special::SpecialExport	enum	pyrefly	7
pyrefly::export::symbols::FlatSymbol	struct	pyrefly	1
pyrefly::export::symbols::FlatSymbols	struct	pyrefly	3
pyrefly::report::cinderx::CinderxClassInfo	struct	pyrefly	2
pyrefly::report::cinderx::CinderxClassRef	struct	pyrefly	4
pyrefly::report::cinderx::CinderxReporter	struct	pyrefly	3
pyrefly::report::cinderx::CinderxSolutions	struct	pyrefly	4
pyrefly::report::pysa::PysaFormat	enum	pyrefly	4
pyrefly::report::pysa::PysaReporter	struct	pyrefly	2
pyrefly::report::pysa::PysaSolutions	struct	pyrefly	2
pyrefly::report::pysa::class::ClassFieldId	struct	pyrefly	9
pyrefly::report::pysa::class::ClassId	struct	pyrefly	9
pyrefly::report::pysa::class::ClassRef	struct	pyrefly	8
pyrefly::report::pysa::context::ModuleAnswersContext	struct	pyrefly	3
pyrefly::report::pysa::context::ModuleContext	struct	pyrefly	1
pyrefly::report::pysa::context::PysaResolver	struct	pyrefly	8
pyrefly::report::pysa::function::DecoratedFunction	struct	pyrefly	2
pyrefly::report::pysa::function::FunctionBaseDefinition	struct	pyrefly	5
pyrefly::report::pysa::function::FunctionId	enum	pyrefly	8
pyrefly::report::pysa::function::FunctionRef	struct	pyrefly	9
pyrefly::report::pysa::function::ModuleFunctionDefinitions	struct	pyrefly	6
pyrefly::report::pysa::global_variable::GlobalVariableBase	struct	pyrefly	2
pyrefly::report::pysa::global_variable::ModuleGlobalVariables	struct	pyrefly	4
pyrefly::report::pysa::location::PysaLocation	struct	pyrefly	13
pyrefly::report::pysa::module::ModuleId	struct	pyrefly	8
pyrefly::report::pysa::module::ModuleIds	struct	pyrefly	3
pyrefly::report::pysa::module_index::GraphQLDecoratorRef	struct	pyrefly	3
pyrefly::report::pysa::module_index::PysaModuleIndex	struct	pyrefly	6
pyrefly::report::pysa::pysa_report_capnp::ImplicitReceiver	enum	pyrefly	5
pyrefly::report::pysa::pysa_report_capnp::PysaClassFieldDeclaration	enum	pyrefly	5
pyrefly::report::pysa::pysa_report_capnp::ReturnShimArgumentMapping	enum	pyrefly	5
pyrefly::report::pysa::pysa_report_capnp::TypeModifier	enum	pyrefly	5
pyrefly::report::pysa::pysa_report_capnp::UnresolvedReason	enum	pyrefly	5
pyrefly::report::pysa::pysa_report_capnp::attribute_access_callees::Builder	struct	pyrefly	26
pyrefly::report::pysa::pysa_report_capnp::attribute_access_callees::Owned	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::attribute_access_callees::Pipeline	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::attribute_access_callees::Reader	struct	pyrefly	18
pyrefly::report::pysa::pysa_report_capnp::call_callees::Builder	struct	pyrefly	28
pyrefly::report::pysa::pysa_report_capnp::call_callees::Owned	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::call_callees::Pipeline	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::call_callees::Reader	struct	pyrefly	19
pyrefly::report::pysa::pysa_report_capnp::call_graph_entry::Builder	struct	pyrefly	16
pyrefly::report::pysa::pysa_report_capnp::call_graph_entry::Owned	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::call_graph_entry::Pipeline	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::call_graph_entry::Reader	struct	pyrefly	13
pyrefly::report::pysa::pysa_report_capnp::captured_variable_ref::Builder	struct	pyrefly	16
pyrefly::report::pysa::pysa_report_capnp::captured_variable_ref::Owned	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::captured_variable_ref::Pipeline	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::captured_variable_ref::Reader	struct	pyrefly	13
pyrefly::report::pysa::pysa_report_capnp::class_definition::Builder	struct	pyrefly	46
pyrefly::report::pysa::pysa_report_capnp::class_definition::Owned	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::class_definition::Pipeline	struct	pyrefly	4
pyrefly::report::pysa::pysa_report_capnp::class_definition::Reader	struct	pyrefly	28
pyrefly::report::pysa::pysa_report_capnp::class_names_from_type::Builder	struct	pyrefly	14
pyrefly::report::pysa::pysa_report_capnp::class_names_from_type::Owned	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::class_names_from_type::Pipeline	struct	pyrefly	1
pyrefly::report::pysa::pysa_report_capnp::class_names_from_type::Reader	struct	pyrefly	12
pyrefly::report::pysa::pysa_report_capnp::class_ref::Builder	struct	pyrefly	12
pyrefly::report::pysa::pysa_report_capnp::class_ref::Owned	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::class_ref::Pipeline	struct	pyrefly	1
pyrefly::report::pysa::pysa_report_capnp::class_ref::Reader	struct	pyrefly	11
pyrefly::report::pysa::pysa_report_capnp::class_with_modifiers::Builder	struct	pyrefly	16
pyrefly::report::pysa::pysa_report_capnp::class_with_modifiers::Owned	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::class_with_modifiers::Pipeline	struct	pyrefly	2
pyrefly::report::pysa::pysa_report_capnp::class_with_modifiers::Reader	struct	pyrefly	13
pyrefly::report::pysa::pysa_report_capnp::decorator_callee::Builder	struct	pyrefly	16
pyrefly::report::pysa::pysa_report_capnp::decorator_callee::Owned	struct	pyrefly	2
