ast-tree	-Zunpretty=ast-tree	the compiler's AST before expansion	trivia	-
ast-tree,expanded	-Zunpretty=ast-tree,expanded	the AST after expansion	trivia and the invocations	-
expanded	-Zunpretty=expanded	macros expanded, prelude injected	the original macro invocations	MI007
expanded,hygiene	-Zunpretty=expanded,hygiene	the expansion with hygiene markers	as expanded	-
expanded,identified	-Zunpretty=expanded,identified	the expansion with node ids	as expanded	-
hir	-Zunpretty=hir	HIR pretty-printed back as Rust	trivia, some sugar	-
hir,identified	-Zunpretty=hir,identified	HIR with node ids	as hir	-
hir,typed	-Zunpretty=hir,typed	HIR with inferred types written in	as hir	-
hir-tree	-Zunpretty=hir-tree	the HIR data structure	as hir	MI004
mir	-Zunpretty=mir	the control-flow graph: blocks, terminators, locals	names, nesting, source shape	MI001
mir-cfg	-Zunpretty=mir-cfg	the same graph as graphviz	as mir	MI008
normal	-Zunpretty=normal	the source, pretty-printed	nothing; it is the input	MI002
stable-mir	-Zunpretty=stable-mir	MIR through the rustc_public projection	some compiler-internal detail	MI005
thir-flat	-Zunpretty=thir-flat	typed HIR, flattened and fully typed	untyped sugar	MI004
thir-tree	-Zunpretty=thir-tree	typed HIR as a tree	untyped sugar	-
