rich.abc.f	attribute	Foo	ty	agree
rich.abc.t	attribute	Text	ty	agree
rich.align.AlignMethod	attribute	```xml <special-form 'Literal["left", "center", "right"]'> ```	ty	differ
rich.align.VerticalAlignMethod	attribute	```xml <special-form 'Literal["top", "middle", "bottom"]'> ```	ty	differ
rich.align.console	attribute	Console	ty	agree
rich.align.highlighter	attribute	ReprHighlighter	ty	agree
rich.align.panel	attribute	Panel	ty	agree
rich.ansi.SGR_STYLE_MAP	attribute	dict[int, str]	ty	agree
rich.ansi.console	attribute	Console	ty	agree
rich.ansi.decoder	attribute	AnsiDecoder	ty	agree
rich.ansi.re_ansi	attribute	Pattern[str]	ty	agree
rich.ansi.stdout	attribute	BytesIO	ty	agree
rich.ansi.stdout_result	attribute	str	ty	agree
rich.bar.BEGIN_BLOCK_ELEMENTS	attribute	list[str]	ty	agree
rich.bar.END_BLOCK_ELEMENTS	attribute	list[str]	ty	agree
rich.bar.FULL_BLOCK	attribute	Literal["█"]	ty	narrower
rich.box.BOXES	attribute	list[str]	ty	agree
rich.box.LEGACY_WINDOWS_SUBSTITUTIONS	attribute	dict[Box, Box]	ty	agree
rich.box.PLAIN_HEADED_SUBSTITUTIONS	attribute	dict[Box, Box]	ty	agree
rich.box.columns	attribute	Columns	ty	agree
rich.box.console	attribute	Console	ty	agree
rich.box.table	attribute	Table	ty	agree
rich.cells.CellSpan	attribute	```xml <class 'tuple[int, int, int]'> ```	ty	differ
rich.color.ANSI_COLOR_NAMES	attribute	dict[str, int]	ty	agree
rich.color.RE_COLOR	attribute	Pattern[str]	ty	agree
rich.color.WINDOWS	attribute	Literal[False]	ty	narrower
rich.color.color	attribute	ColorTriplet	ty	agree
rich.color.color_cell	attribute	Text	ty	agree
rich.color.colors	attribute	list[tuple[int, str]]	ty	agree
rich.color.console	attribute	Console	ty	agree
rich.color.table	attribute	Table	ty	agree
rich.columns.columns	attribute	Columns	ty	agree
rich.columns.console	attribute	Console	ty	agree
rich.columns.files	attribute	list[str]	ty	agree
rich.console.COLOR_SYSTEMS	attribute	dict[str, ColorSystem]	ty	agree
rich.console.HighlighterType	attribute	```xml <Callable special-form '(str | Text, /) -> Text'> ```	ty	differ
rich.console.JUPYTER_DEFAULT_COLUMNS	attribute	Literal[115]	ty	narrower
rich.console.JUPYTER_DEFAULT_LINES	attribute	Literal[100]	ty	narrower
rich.console.JustifyMethod	attribute	```xml <special-form 'Literal["default", "left", "center", "right", "full"]'> ```	ty	differ
rich.console.NO_CHANGE	attribute	NoChange	ty	agree
rich.console.OverflowMethod	attribute	```xml <special-form 'Literal["fold", "crop", "ellipsis", "ignore"]'> ```	ty	differ
rich.console.RenderResult	attribute	```xml <class 'Iterable[ConsoleRenderable | RichCast | str | Segment]'> ```	ty	differ
rich.console.RenderableType	attribute	```xml <types.UnionType special-form 'ConsoleRenderable | RichCast | str'> ``` --- A string or any object that may be rendered by Rich.	ty	differ
rich.console.WINDOWS	attribute	Literal[False]	ty	narrower
rich.console.console	attribute	Console	ty	agree
rich.containers.T	attribute	TypeVar	ty	unanswered
rich.control.console	attribute	Console	ty	agree
rich.default_styles.args	attribute	Namespace	ty	agree
rich.default_styles.console	attribute	Console	ty	agree
rich.default_styles.parser	attribute	ArgumentParser	ty	agree
rich.default_styles.table	attribute	Table	ty	agree
